distance-to-solar-noon,temperature,wind-speed,sky-cover,humidity,average-wind-speed-(period),average-pressure-(period),power-generated,wind_dir_sin,wind_dir_cos
0.859897172,69,7.5,0,75,8.0,29.82,0,-1.0,-1.8369701987210297e-16
0.628534704,69,7.5,0,77,5.0,29.85,0,-1.0,-1.8369701987210297e-16
0.397172237,69,7.5,0,70,0.0,29.89,5418,-1.0,-1.8369701987210297e-16
0.165809769,69,7.5,0,33,0.0,29.91,25477,-1.0,-1.8369701987210297e-16
0.065552699,69,7.5,0,21,3.0,29.89,30069,-1.0,-1.8369701987210297e-16
0.296915167,69,7.5,0,20,23.0,29.85,16280,-1.0,-1.8369701987210297e-16
0.528277635,69,7.5,0,36,15.0,29.83,515,-1.0,-1.8369701987210297e-16
0.759640103,69,7.5,0,49,6.0,29.86,0,-1.0,-1.8369701987210297e-16
0.862113402,72,6.8,0,67,6.0,29.86,0,-0.9848077530122081,0.17364817766692997
0.630154639,72,6.8,0,49,0.0,29.87,0,-0.9848077530122081,0.17364817766692997
0.398195876,72,6.8,0,54,0.0,29.9,4939,-0.9848077530122081,0.17364817766692997
0.166237113,72,6.8,0,64,0.0,29.92,24335,-0.9848077530122081,0.17364817766692997
0.065721649,72,6.8,0,23,9.0,29.88,29025,-0.9848077530122081,0.17364817766692997
0.297680412,72,6.8,0,30,18.0,29.84,15408,-0.9848077530122081,0.17364817766692997
0.529639175,72,6.8,0,65,11.0,29.84,491,-0.9848077530122081,0.17364817766692997
0.761597938,72,6.8,0,75,5.0,29.85,0,-0.9848077530122081,0.17364817766692997
0.86545925,73,7.9,0,72,6.0,29.84,0,-0.9848077530122081,0.17364817766692997
0.632600259,73,7.9,0,78,6.0,29.86,0,-0.9848077530122081,0.17364817766692997
0.399741268,73,7.9,0,63,0.0,29.88,4854,-0.9848077530122081,0.17364817766692997
0.166882277,73,7.9,0,69,3.0,29.88,23855,-0.9848077530122081,0.17364817766692997
0.065976714,73,7.9,0,33,10.0,29.84,28339,-0.9848077530122081,0.17364817766692997
0.298835705,73,7.9,0,27,20.0,29.81,15308,-0.9848077530122081,0.17364817766692997
0.531694696,73,7.9,0,53,14.0,29.81,455,-0.9848077530122081,0.17364817766692997
0.764553687,73,7.9,0,70,6.0,29.85,0,-0.9848077530122081,0.17364817766692997
0.86770428,76,6.9,0,73,0.0,29.83,0,-0.9396926207859083,0.342020143325669
0.634241245,76,6.9,0,78,6.0,29.82,0,-0.9396926207859083,0.342020143325669
0.40077821,76,6.9,0,70,0.0,29.84,4750,-0.9396926207859083,0.342020143325669
0.167315175,76,6.9,0,64,3.0,29.85,23555,-0.9396926207859083,0.342020143325669
0.06614786,76,6.9,0,62,6.0,29.79,27741,-0.9396926207859083,0.342020143325669
0.299610895,76,6.9,0,30,15.0,29.75,14917,-0.9396926207859083,0.342020143325669
0.53307393,76,6.9,0,27,17.0,29.74,429,-0.9396926207859083,0.342020143325669
0.766536965,76,6.9,0,33,5.0,29.77,0,-0.9396926207859083,0.342020143325669
0.869791667,77,8.5,0,53,3.0,29.77,0,-0.9848077530122081,0.17364817766692997
0.635416667,77,8.5,0,70,7.0,29.76,0,-0.9848077530122081,0.17364817766692997
0.401041667,77,8.5,0,61,0.0,29.8,4804,-0.9848077530122081,0.17364817766692997
0.166666667,77,8.5,0,64,3.0,29.82,23551,-0.9848077530122081,0.17364817766692997
0.067708333,77,8.5,0,49,5.0,29.78,27963,-0.9848077530122081,0.17364817766692997
0.302083333,77,8.5,0,19,22.0,29.75,14980,-0.9848077530122081,0.17364817766692997
0.536458333,77,8.5,0,51,15.0,29.76,423,-0.9848077530122081,0.17364817766692997
0.770833333,77,8.5,0,37,8.0,29.79,0,-0.9848077530122081,0.17364817766692997
0.870925684,75,8.6,1,57,6.0,29.78,0,-0.9396926207859083,0.342020143325669
0.636245111,75,8.6,1,73,3.0,29.78,0,-0.9396926207859083,0.342020143325669
0.401564537,75,8.6,1,52,3.0,29.81,4562,-0.9396926207859083,0.342020143325669
0.166883963,75,8.6,1,66,3.0,29.82,22761,-0.9396926207859083,0.342020143325669
0.06779661,75,8.6,0,29,16.0,29.79,28193,-0.9396926207859083,0.342020143325669
0.302477184,75,8.6,0,39,18.0,29.75,14835,-0.9396926207859083,0.342020143325669
0.537157757,75,8.6,0,57,14.0,29.74,375,-0.9396926207859083,0.342020143325669
0.771838331,75,8.6,0,65,8.0,29.76,0,-0.9396926207859083,0.342020143325669
0.873036649,62,14.9,1,81,8.0,29.76,0,-0.9848077530122081,0.17364817766692997
0.637434555,62,14.9,1,87,7.0,29.74,0,-0.9848077530122081,0.17364817766692997
0.401832461,62,14.9,1,84,8.0,29.76,2963,-0.9848077530122081,0.17364817766692997
0.166230366,62,14.9,1,68,14.0,29.77,24553,-0.9848077530122081,0.17364817766692997
0.069371728,62,14.9,1,61,22.0,29.73,29986,-0.9848077530122081,0.17364817766692997
